id,bbl,bin,street_number,street_name,borough,zipcode,on_covered_buildings_list,dof_benchmarking_status,site_eui,weather_normalized_site_eui,source_eui,weather_normalized_source_eui,indoor_water_intensity,reported_water_method,energy_star_score,total_ghg_emissions,direct_ghg_emissions,indirect_ghg_emissions,property_floor_area,primary_property_type
9754,2030240080,2102071,385,east 184 street,bronx,10458,yes,in compliance,85.9,83.3,131.9,129.3,0,none,0,663.3,450.6,212.7,128634,multifamily housing
9755,2030400003,2114972,4648,park avenue,bronx,10458,yes,in compliance,98.9,94.3,146.1,141.2,142.85,abs,0,486.5,347.4,139.1,83077,multifamily housing
9756,2030500070,2117654,2277,bathgate avenue,bronx,10457,yes,in compliance,27,27.1,76.6,76.8,91.84,abs,0,178.6,17.7,160.9,84126,multifamily housing
9757,2030690017,2114260,2080,la fontaine avenue,bronx,10457,yes,in compliance,97.2,94.1,148.5,145.2,87.14,abs,0,420.7,287.7,133,72203,multifamily housing
9758,2031080044,2102580,825,east 179 street,bronx,10460,yes,in compliance,122.1,118,174.3,170.2,0,none,0,605.5,450.5,155,84778,multifamily housing
9759,2031300002,2013244,985,east tremont avenue,bronx,10460,yes,in compliance,100,96,158.1,153.3,0,none,0,495,323.2,171.7,81528,multifamily housing
9760,2031330001,2088396,961,east 180 street,bronx,10460,yes,in compliance,96.8,93.8,165.6,162.4,99.68,abs,0,432.2,251.2,181,71379,multifamily housing
9761,2031690045,2114118,2089,creston avenue,bronx,10453,yes,in compliance,84.1,81.8,131.2,128.7,109.55,abs,0,485.2,322.9,162.3,95509,multifamily housing
9762,2032630185,2103647,3880,orloff avenue,bronx,10463,yes,in compliance,71.4,69.3,114.4,112.2,52.21,abs,0,546.5,350.5,196,125449,multifamily housing
9763,2033220057,2116616,3121,villa avenue,bronx,10468,yes,in compliance,70.6,68.5,113.8,111.8,39.92,abs,0,473.9,301.1,172.8,109783,multifamily housing
9764,2033600176,2117656,3600,webster avenue,bronx,10467,yes,in compliance,66.3,64.3,119.3,117.2,0,none,0,226.1,120.7,105.4,53463,multifamily housing
9765,2042530080,2103885,1975,birchall avenue,bronx,10462,yes,in compliance,112.1,108.1,163,159.1,0,none,0,597.7,434.8,162.9,90539,multifamily housing
9766,2042530084,2103139,678,sagamore street,bronx,10462,yes,in compliance,103.2,99.6,153.2,149.6,0,none,0,517,366.6,150.4,84475,multifamily housing
9767,3013470054,3399196;3806178,1507,bergen street,brooklyn,11213,yes,in compliance,64.6,62.3,104.7,102.5,33.63,abs,0,244.7,154.2,90.5,61854,multifamily housing
9768,3036170025,3398651;3398652;3398648;3398654;3830507;3398650;3398649,550,watkins street,brooklyn,11212,yes,in compliance,71,69.4,113.5,111.7,0,none,54,240,154.2,85.8,55479,multifamily housing
9769,3087897501,3340062;3340062;3340059;3340053;3340063;3340064;3340060;3340061;3340066;3340065;3340058;3340056;3340057;3340065;3340067,2801,east 26 street,brooklyn,11235,yes,in compliance,79,77.6,129.5,127.7,0,none,0,928.4,575.5,352.9,190997,multifamily housing
9770,3002340024,3001742,169,columbia heights,brooklyn,11201,yes,in compliance,84.5,82.4,152,150.2,33.45,abs,53,461.5,252.2,209.3,83000,multifamily housing
9771,4031750001,4433860;4433859;4433858,104-20,queens boulevard,queens,11375,yes,in compliance,91.4,0,148,0,0,none,27,10088.4,6468.8,3619.6,1741458,multifamily housing
9772,4021660001,4051518,62-59,108 street,queens,11375,yes,in compliance,22.1,21.9,51.7,51.2,0,none,100,185.5,64.7,120.8,105530,multifamily housing
9773,1003310001,1004064,504,grand street,manhattan,10002,yes,in compliance,0,0,0,0,0,none,0,355.3,38.4,317,216200,multifamily housing
